Facility_name,Pop_served,State,Health,Contaminant,Result_value,State_MCL
FL2540225,25,FL,N,3100,0,0
FL2540225,25,FL,N,3000,0,0
FL3640263,80,FL,N,3000,0,0
FL3590699,773,FL,N,3000,0,0
FL6290762,208,FL,N,3000,0,0
FL6531169,30,FL,N,3000,0,0
FL2551399,50,FL,N,3000,0,0
FL3494361,25,FL,N,3100,0,0
FL6292161,42,FL,N,3100,0,0
FL6292852,70,FL,N,3000,0,0
FL5114085,875,FL,Y,3100,0,0
GA1190051,4979,GA,Y,4006,45,30
GA1070028,508,GA,N,1040,0,0
GA1230038,25,GA,N,3000,0,0
GA1110042,60,GA,Y,3100,0,0
GA1030063,0,GA,N,3100,0,0
FL2544373,25,FL,N,3100,0,0
FL2610363,35,FL,N,3000,0,0
FL2454301,25,FL,N,3100,0,0
FL5110182,1647,FL,N,3000,0,0
FL6091625,213,FL,N,1050,0,0
GA1250001,210,GA,Y,4010,7.75,5
FL2540968,84,FL,N,3100,0,0
FL3480539,50,FL,N,3000,0,0
FL3484352,1243,FL,N,3100,0,0
ID2290025,20,ID,Y,3000,0,0
ID1110045,0,ID,N,3100,0,0
GA2450017,1349,GA,N,3000,0,0
GA2450038,96,GA,N,3100,0,0
IA0975913,26,IA,N,3000,0,0
ID4200085,0,ID,N,3100,0,0
ID4200085,0,ID,N,3100,0,0
ID5420058,48260,ID,Y,1005,0.011,0.01
ID3140264,30,ID,Y,1005,0.014,0.01
IA5221301,75,IA,N,3000,0,0
GA2310002,534,GA,Y,4006,198,20
CT0180161,0,CT,Y,4006,42,30
CT0090051,196,CT,N,5000,0,0
LA1111011,1146,LA,Y,2950,111,80
LA1001003,900,LA,Y,3100,0,0
LA1015016,2733,LA,Y,2950,86,80
LA1029005,4193,LA,Y,2950,166,80
LA1029005,4193,LA,Y,2456,0.067,0.06
LA1029006,1920,LA,Y,2456,69,60
LA1029006,1920,LA,Y,2950,92,80
LA2085067,18,LA,Y,3100,0,0
KY0332189,0,KY,N,1040,0,0
KY0332189,0,KY,N,3000,0,0
MI2000562,26,MI,N,3100,0,0
LA1017023,956,LA,Y,2456,78,60
LA1017023,956,LA,Y,2456,74,60
LA1043004,302,LA,Y,2950,230,80
LA1081012,2205,LA,Y,2456,151,60
LA1081012,2205,LA,Y,2950,163,80
LA1081012,2205,LA,Y,2456,0.236,0.06
LA1081012,2205,LA,Y,2456,123,60
LA1099023,75,LA,Y,1005,0.013,0.01
MI2000231,35,MI,N,3100,0,0
ME0091550,1053,ME,Y,2950,0.0835,0.08
ME0091550,1053,ME,Y,2950,0.10653,0.08
ME0090930,4375,ME,Y,2456,0.068,0.06
KY0562410,0,KY,N,3000,0,0
KY0602752,0,KY,N,3000,0,0
LA1055153,81,LA,Y,1005,0.017,0.01
LA1101013,400,LA,Y,2950,99,80
KY0971007,875,KY,Y,2456,0.081,0.06
KY0982196,0,KY,N,100,0,0
KY0982196,0,KY,Y,100,1.5,0
LA1073020,8463,LA,Y,2950,115,80
MD0080011,0,MD,N,3000,0,0
ME0006390,48,ME,N,3100,0,0
ME0007378,75,ME,Y,4009,77,30
MA2054043,50,MA,Y,4010,7,5
MI0040320,182,MI,N,3000,0,0
MI2001127,50,MI,Y,3100,0,0
LA1013006,435,LA,Y,2456,115,60
LA1069013,675,LA,Y,2456,86.6,60
LA1069013,675,LA,Y,2456,312,60
LA1069013,675,LA,Y,2456,0.356,0.06
LA1083006,4842,LA,Y,2950,0.095,0.08
LA1043018,1872,LA,Y,2950,112,80
KY0670462,2673,KY,Y,2456,0.063,0.06
ME0016855,50,ME,Y,1040,12,10
ME0090410,1868,ME,Y,2950,85.26,80
ME0090410,1868,ME,Y,2456,0.07419,0.06
