Facility_name,Pop_served,State,Health,Contaminant,Result_value,State_MCL
GA1190051,4979,GA,Y,4006,45,30
GA1250001,210,GA,Y,4010,7.75,5
ID5420058,48260,ID,Y,1005,0.011,0.01
ID3140264,30,ID,Y,1005,0.014,0.01
GA2310002,534,GA,Y,4006,198,20
LA1111011,1146,LA,Y,2950,111,80
LA1015016,2733,LA,Y,2950,86,80
LA1029005,4193,LA,Y,2950,166,80
LA1029005,4193,LA,Y,2456,0.067,0.06
LA1029006,1920,LA,Y,2456,69,60
LA1029006,1920,LA,Y,2950,92,80
LA1017023,956,LA,Y,2456,78,60
LA1017023,956,LA,Y,2456,74,60
LA1043004,302,LA,Y,2950,230,80
LA1081012,2205,LA,Y,2456,151,60
LA1081012,2205,LA,Y,2950,163,80
LA1081012,2205,LA,Y,2456,0.236,0.06
LA1081012,2205,LA,Y,2456,123,60
LA1099023,75,LA,Y,1005,0.013,0.01
ME0091550,1053,ME,Y,2950,0.0835,0.08
ME0091550,1053,ME,Y,2950,0.10653,0.08
ME0090930,4375,ME,Y,2456,0.068,0.06
LA1055153,81,LA,Y,1005,0.017,0.01
LA1101013,400,LA,Y,2950,99,80
KY0971007,875,KY,Y,2456,0.081,0.06
LA1073020,8463,LA,Y,2950,115,80
ME0007378,75,ME,Y,4009,77,30
MA2054043,50,MA,Y,4010,7,5
LA1013006,435,LA,Y,2456,115,60
LA1069013,675,LA,Y,2456,86.6,60
LA1069013,675,LA,Y,2456,312,60
LA1069013,675,LA,Y,2456,0.356,0.06
LA1083006,4842,LA,Y,2950,0.095,0.08
LA1043018,1872,LA,Y,2950,112,80
KY0670462,2673,KY,Y,2456,0.063,0.06
ME0016855,50,ME,Y,1040,12,10
ME0090410,1868,ME,Y,2950,85.26,80
ME0090410,1868,ME,Y,2456,0.07419,0.06
ME0091000,1750,ME,Y,2950,0.12235,0.08
LA1047012,48,LA,Y,3000,24,1
LA1047019,36,LA,Y,3000,20,1
LA1059006,414,LA,Y,2950,83,80
KY0090343,14479,KY,Y,2456,0.079,0.06
LA2095041,103,LA,Y,2950,306,80
LA1097038,375,LA,Y,2950,87,80
ME0091490,2428,ME,Y,2456,0.093,0.06
LA1111005,4977,LA,Y,2950,192,80
LA1111008,2310,LA,Y,2950,235,80
LA1111010,1635,LA,Y,2950,266,80
LA1027013,489,LA,Y,2950,85,80
LA1049004,1137,LA,Y,2950,189,80
LA1073047,10092,LA,Y,2950,242,80
ME0091100,1748,ME,Y,2950,0.145,0.08
KY0110097,32600,KY,Y,2456,0.063,0.06
LA1007001,22862,LA,Y,2950,81,80
LA1009005,3120,LA,Y,2950,85,80
LA1009010,1677,LA,Y,2950,113,80
KY0900031,5771,KY,Y,2456,0.062,0.06
ME0091100,1748,ME,Y,2456,0.12225,0.06
MD0060010,1500,MD,Y,2456,79,60
IL0990200,560,IL,Y,1005,0.039,0.01
KS2001305,3134,KS,Y,1040,11,10
KS2010310,391,KS,Y,2456,0.069,0.06
KS2019116,476,KS,Y,1005,0.012,0.01
IN5288002,8458,IN,Y,2456,94.8,60
IN5288004,2025,IN,Y,2950,99.8,80
MO1010301,1642,MO,Y,2950,90,80
MO2010362,560,MO,Y,2950,105,80
MI0001770,943,MI,Y,2456,0.0923,0.06
ME0003342,65,ME,Y,4009,0.04125,0.03
ME0003342,65,ME,Y,4000,33.625,15
MD1121233,173,MD,Y,1040,12,10
MD0100203,150,MD,Y,4000,18,15
MD0070202,89,MD,Y,4000,17,15
MS0420035,555,MS,Y,2950,0.083,0.08
MD1031064,105,MD,Y,1040,10.8,10
MO1010179,166,MO,Y,2950,149,80
MO1024143,3300,MO,Y,2950,82,80
MI0040453,238,MI,Y,1005,0.015,0.01
MI0005395,40,MI,Y,1005,0.011,0.01
CA3610112,6510,CA,Y,1005,0.019,0.01
CA2910011,354,CA,Y,1005,0.0355,0.01
CA2910011,354,CA,Y,1005,0.0351,0.01
CA3610705,16000,CA,Y,1005,0.03,0.01
CA3610705,16000,CA,Y,1005,0.03,0.01
CA3610705,16000,CA,Y,1005,0.031,0.01
CA3700291,100,CA,Y,1025,4.45,2
CA3700291,100,CA,Y,1025,4.75,2
CA3700291,100,CA,Y,1025,5.21,2
CO0160450,135,CO,Y,1025,4.4,4
CA2700799,87,CA,Y,1005,0.025,0.01
CA2610003,851,CA,Y,1005,0.03,0.01
CA2000551,200,CA,Y,4006,107,20
CA5400711,104,CA,Y,1040,55,45
