VIOLATION.PWSID,VIOLATION.VIOLATION_ID,VIOLATION.FACILITY_ID,VIOLATION.POPULATION_SERVED_COUNT,VIOLATION.NPM_CANDIDATE,VIOLATION.PWS_ACTIVITY_CODE,VIOLATION.PWS_DEACTIVATION_DATE,VIOLATION.PRIMARY_SOURCE_CODE,VIOLATION.POP_CAT_5_CODE,VIOLATION.PRIMACY_AGENCY_CODE,VIOLATION.EPA_REGION,VIOLATION.PWS_TYPE_CODE,VIOLATION.VIOLATION_CODE,VIOLATION.VIOLATION_CATEGORY_CODE,VIOLATION.IS_HEALTH_BASED_IND,VIOLATION.CONTAMINANT_CODE,VIOLATION.COMPLIANCE_STATUS_CODE,VIOLATION.VIOL_MEASURE,VIOLATION.UNIT_OF_MEASURE,VIOLATION.STATE_MCL,VIOLATION.IS_MAJOR_VIOL_IND,VIOLATION.SEVERITY_IND_CNT,VIOLATION.COMPL_PER_BEGIN_DATE,VIOLATION.COMPL_PER_END_DATE,VIOLATION.LATEST_ENFORCEMENT_ID,VIOLATION.RTC_ENFORCEMENT_ID,VIOLATION.RTC_DATE,VIOLATION.PUBLIC_NOTIFICATION_TIER,VIOLATION.ORIGINATOR_CODE,VIOLATION.SAMPLE_RESULT_ID,VIOLATION.CORRECTIVE_ACTION_ID,VIOLATION.RULE_CODE,VIOLATION.RULE_GROUP_CODE,VIOLATION.RULE_FAMILY_CODE
FL3594231,20150002753,,25,N,A,,GW,1,FL,4,TNCWS,25,MR,N,3100,R,,,,,,1-Mar-15,31-Mar-15,425189,425189,1-May-15,3,S,,,110,100,110
GA0910003,90608,,416,N,A,,GW,1,GA,4,CWS,71,Other,N,7000,R,,,,,,1-Jul-07,,1241409,1241409,1-Oct-08,3,S,,,420,400,420
GA1290021,30605,,270,N,A,,SWP,1,GA,4,CWS,71,Other,N,7000,R,,,,,,1-Jul-04,,1073405,1073405,9-Aug-05,3,S,,,420,400,420
GA1290021,31008,,270,N,A,,SWP,1,GA,4,CWS,71,Other,N,7000,R,,,,,,1-Jul-07,,1074208,1074208,2-Jul-08,3,S,,,420,400,420
GA0910008,52015,,52,N,A,,GW,1,GA,4,TNCWS,24,MR,N,3100,K,,,,,,1-Jan-16,31-Mar-16,1193424,,,3,S,,,110,100,110
GA1050039,20718,,50,N,A,,GW,1,GA,4,TNCWS,3A,MON,N,8000,K,,,,Y,,1-Jul-18,30-Sep-18,1422,,,3,S,,,111,100,110
GA1050045,822,,25,N,I,4-Apr-16,GW,1,GA,4,CWS,71,Other,N,7000,R,,,,,,1-Jul-14,,1039,1039,4-Apr-16,3,S,,,420,400,420
GA1070003,21121,,530,N,A,,GW,2,GA,4,CWS,3A,MON,N,8000,R,,,,Y,,1-Jul-17,31-Jul-17,1254923,1254924,30-Aug-17,3,S,,,111,100,110
GA1070006,30402,,1500,N,A,,GW,2,GA,4,CWS,72,Other,N,7000,R,,,,,,21-Feb-02,,1246912,1246912,27-Oct-11,3,S,,,420,400,420
GA1070012,60517,916,100,N,A,,GW,1,GA,4,CWS,3,MR,N,4000,K,,,,Y,,1-Jan-08,31-Dec-16,,,,3,S,,,340,300,340
FL2450431,20120004547,,60,N,A,,GW,1,FL,4,CWS,19,MR,N,3014,K,,,,Y,,1-Aug-12,31-Aug-12,367993,,,3,S,,,140,100,140
