PWSName,Size,FacilityName,FacilityWaterType,Contaminant,MRL,Result,Result_value,State,Date
Agawam Water Department,L,1057 North Westfield Street,SW,manganese,0.4,TRUE,7.08,MA,2019-03-05
Agawam Water Department,L,1057 North Westfield Street,SW,manganese,0.4,TRUE,4.53,MA,2019-06-04
Agawam Water Department,L,1057 North Westfield Street,SW,manganese,0.4,TRUE,5.94,MA,2019-09-06
Agawam Water Department,L,1057 North Westfield Street,SW,manganese,0.4,TRUE,4.62,MA,2019-12-04
Amherst DPW Water Division,L,Atkins WTP,SW,manganese,0.4,TRUE,12.5,MA,2018-02-22
Amherst DPW Water Division,L,Atkins WTP,SW,manganese,0.4,TRUE,1.51,MA,2018-08-15
Amherst DPW Water Division,L,Atkins WTP,SW,manganese,0.4,TRUE,1.38,MA,2018-11-13
Amherst DPW Water Division,L,Wells #1 & 2,GW,manganese,0.4,TRUE,7.39,MA,2018-02-22
Amherst DPW Water Division,L,Wells #1 & 2,GW,manganese,0.4,TRUE,27,MA,2018-08-28
Amherst DPW Water Division,L,Well #3 - Brown,GW,manganese,0.4,TRUE,1.11,MA,2018-03-20
Amherst DPW Water Division,L,Baby Carriage Brook WTP,GW,manganese,0.4,TRUE,2.43,MA,2018-02-22
Amherst DPW Water Division,L,Baby Carriage Brook WTP,GW,manganese,0.4,TRUE,2.29,MA,2018-08-28
Amherst DPW Water Division,L,Well #5,GW,manganese,0.4,TRUE,1.88,MA,2018-03-20
Amherst DPW Water Division,L,Well #5,GW,manganese,0.4,TRUE,2.05,MA,2018-09-12
Athol DPW Water Division,L,South Street Well,GW,manganese,0.4,TRUE,26.6,MA,2018-05-15
Athol DPW Water Division,L,South Street Well,GW,manganese,0.4,TRUE,25.1,MA,2018-11-19
Athol DPW Water Division,L,Tully Wellfield,GW,manganese,0.4,TRUE,3.4,MA,2018-05-15
Athol DPW Water Division,L,Tully Wellfield,GW,manganese,0.4,TRUE,12.6,MA,2018-11-19
Chicopee Water Dept.,L,MWRA CONNECTION,SW,manganese,0.4,TRUE,3.69,MA,2020-01-13
Chicopee Water Dept.,L,MWRA CONNECTION,SW,manganese,0.4,TRUE,2.14,MA,2020-04-02
Chicopee Water Dept.,L,MWRA CONNECTION,SW,manganese,0.4,TRUE,3.11,MA,2020-07-06
Dalton Fire District,S,Well,GW,manganese,0.4,TRUE,0.666,MA,2019-02-11
Dalton Fire District,S,Connection,SW,manganese,0.4,TRUE,10.92,MA,2019-02-11
Dalton Fire District,S,Connection,SW,manganese,0.4,TRUE,5.594,MA,2019-05-06
Dalton Fire District,S,Connection,SW,manganese,0.4,TRUE,5.502,MA,2019-08-05
Dalton Fire District,S,Connection,SW,manganese,0.4,TRUE,11.211,MA,2019-11-05
East Longmeadow DPW Water Dept.,L,Springfield Intertie,SW,manganese,0.4,TRUE,3.487,MA,2018-11-05
East Longmeadow DPW Water Dept.,L,Springfield Intertie,SW,manganese,0.4,TRUE,14.25,MA,2019-02-06
East Longmeadow DPW Water Dept.,L,Springfield Intertie,SW,manganese,0.4,TRUE,1.662,MA,2019-05-08
East Longmeadow DPW Water Dept.,L,Springfield Intertie,SW,manganese,0.4,TRUE,6.673,MA,2019-08-07
Easthampton Water Dept.,L,Brook Street Well,GW,manganese,0.4,TRUE,0.47,MA,2019-10-15
Easthampton Water Dept.,L,Maloney Well,GW,manganese,0.4,TRUE,134,MA,2019-04-25
Easthampton Water Dept.,L,Maloney Well,GW,manganese,0.4,TRUE,215,MA,2019-10-15
